data_item,file_or_module,field_or_metric,source_type,source_name,source_url,source_data_date,last_reviewed,validation_status,confidence,notes
Route network,data/generated_routes.csv,origin_port/destination_port,MODELLED,Internal route generator,,,2026-08-21,MODELLED_UNVALIDATED,LOW,Connectivity is generated from project port data and routing rules. It is not a navigational chart or verified sea-lane network.
Route distance,data/generated_routes.csv,distance_nm,MODELLED,Geodesic calculation via geopy,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,"Calculated geodesic distance is internally reproducible but is not necessarily sailed sea-route distance around land, canals, traffic schemes, or restrictions."
Route fuel component,data/generated_routes.csv,fuel_cost_estimate,SYNTHETIC,Internal route generator,,,2026-08-21,SYNTHETIC,LOW,Distance-based model component. It must not be represented as actual voyage bunker expenditure.
Canal fee,data/generated_routes.csv,canal_fee,SYNTHETIC,Internal route generator,,,2026-08-21,SYNTHETIC,LOW,Current route-model value is not verified against current official canal tariffs or vessel-specific toll calculations.
Weather risk,data/generated_routes.csv,weather_risk,MODELLED,Internal route generator,,,2026-08-21,MODELLED_UNVALIDATED,LOW,Optimization penalty rather than a monetary invoice or validated weather-routing forecast.
Piracy risk,data/generated_routes.csv,piracy_risk,MODELLED,Internal route generator,,,2026-08-21,MODELLED_UNVALIDATED,LOW,Optimization penalty rather than a directly incurred voyage cost. Requires independent risk-data validation.
Carbon cost,data/generated_routes.csv,carbon_cost,SYNTHETIC,Internal route generator,,,2026-08-21,SYNTHETIC,LOW,Current distance-based approximation is not a verified regulatory carbon-liability calculation.
Dijkstra routing,optimizer/dijkstra.py,shortest_path,CALCULATED,NetworkX / internal implementation,,,2026-08-21,ALGORITHM_VALIDATED,HIGH,Implementation has been tested for shortest-path consistency on project datasets. This does not validate maritime navigability of the underlying network.
A-star routing,optimizer/astar.py,astar_path,CALCULATED,NetworkX / internal implementation,,,2026-08-21,ALGORITHM_VALIDATED,HIGH,Tested for cost agreement with Dijkstra under the current heuristic. Underlying maritime network remains a separate validation question.
Brute-force validation,optimizer/brute_force.py,brute_force_shortest_path,CALCULATED,Internal DFS validator,,,2026-08-21,INTERNALLY_TESTED,HIGH,Used as an independent algorithmic cross-check on manageable graphs/subgraphs; computationally unsuitable for large networks.
Voyage revenue,economics/voyage_economics.py,voyage_revenue,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Formula: cargo tonnes x freight rate x freight premium multiplier. Output accuracy depends on freight and cargo inputs.
Sea days,economics/voyage_economics.py,sea_days,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,"Formula: distance NM / vessel speed knots / 24. Real voyage duration additionally depends on routing, weather, speed variation, traffic and operational conditions."
Total voyage days,economics/voyage_economics.py,total_voyage_days,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,"Formula adds sea, ballast, waiting and port days. Accuracy depends on the supplied day assumptions."
Fuel consumed,economics/voyage_economics.py,fuel_consumed,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Sea days x daily fuel burn. Does not itself prove the fuel-burn input is realistic for a particular vessel or condition.
Fuel cost,economics/voyage_economics.py,fuel_cost,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Fuel consumed x bunker price. Accuracy depends on consumption and bunker-price inputs.
Port costs,economics/voyage_economics.py,port_costs,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Correctly adds user/model supplied load and discharge port costs; underlying port-charge values require separate validation.
Transit costs,economics/voyage_economics.py,transit_costs,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Transit port count x transit fee per port. Simplified commercial model rather than a complete port/canal tariff engine.
Voyage cost,economics/voyage_economics.py,voyage_cost,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Reconciles fuel + port + transit + adjusted route cost under the current engine definition.
Voyage profit,economics/voyage_economics.py,voyage_profit,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Revenue minus voyage cost under the current engine. Additional dashboard costs such as hire/OPEX/demurrage may be applied separately.
Voyage TCE,economics/voyage_economics.py,tce,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,HIGH,Voyage profit divided by total voyage days under the engine definition. Commercial interpretation depends on which costs have been included.
Speed/fuel curve,economics/speed_fuel_model.py,fuel_burn_at_speed,MODELLED,Speed-power approximation,,,2026-08-21,MODELLED_UNVALIDATED,MEDIUM,Fuel burn rises non-linearly with speed. The model requires calibration against actual vessel performance curves before real-world reliance.
